source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,pm_membership_prob,pm_dist_mahalanobis,membership_tier
598675255166244736,133.15059962195036,11.180072026677932,-0.2775595275376219,-4.55908744236409,0.8134644861716238,1.159732,20.477926,1.9594307,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,9.12311393363836e-06,5.884435214706871,non-member
598676629556420864,132.94658928325603,11.121170643828831,0.6979929706205862,-12.482857175160404,2.5004654466881657,1.084298,19.337719,2.1666908,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,3.373525591307388e-43,14.472830260330216,non-member
598676693985469312,132.9275839076206,11.113307931185508,2.213367637674563,-4.399083956693522,-44.97593438175157,1.0337322,19.491302,2.6349373,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,0.0,46.98018292190257,non-member
598676766995379200,132.91724871170615,11.12245868390452,0.9720718111012454,-9.185487499098992,-1.7903225949666806,0.9960845,16.28616,1.1661434,,NOT_AVAILABLE,0,True,False,False,False,False,True,True,4785.4688,4.655,-0.5162,825.8136,0.0665,0.0524,0.0278,0.7965845758913448,2.8919702446296047,probable
598676801355115008,132.93175946804658,11.121589484473017,0.4005783984693644,2.207575184811396,-10.946002246828956,0.9755494,18.664454,1.1075172,,NOT_AVAILABLE,0,False,False,False,False,False,True,False,4703.3174,4.8077,-1.2018,1892.5044,0.0083,0.0065,0.0035,3.067402375618466e-166,32.14023133833813,non-member
598676865779782272,132.92390289809327,11.12534703541539,2.0607440151692904,-9.323137490956016,-2.2889687812317225,1.0929252,19.892862,2.2612095,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,0.9308711678482356,2.7856802752083016,core
598676904435667456,132.94123042778864,11.138245728451324,-3.267600103336437,0.3155285851777666,-0.7217187510751651,1.6767527,19.815008,2.0450115,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,0.48258810870140983,18.73992346311682,candidate
598676938794059008,132.98002514938892,11.11721638644658,0.3531240938587842,1.9424090575464812,0.6987603163720928,1.077366,19.323376,1.8506927,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,0.3799003432455061,21.38092498477117,candidate
598677041872672000,132.9742833553731,11.135393704485043,0.9555882890097698,0.1309679719922892,-3.734892348719177,1.0686636,20.17412,0.93123055,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,1.2283256800643627e-16,20.907798647343395,non-member
598677041873269888,132.98471168386044,11.135822334712053,2.957272390834695,6.124050950509223,-19.08337049462319,0.9202548,7.1276755,1.3400488,0.8376795,NOT_AVAILABLE,0,True,True,False,False,False,False,True,,,,,,,,0.0,48.57685396416008,non-member
598677071938035712,133.0078550792591,11.136864486233309,1.0057029354858456,2.748816020452698,-10.91417430335445,0.9296105,20.161486,1.396141,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,2.6105214950900928e-169,33.3942337320751,non-member
598677144952482688,132.98551593721277,11.146103388363588,0.2007742273714547,0.7064374166761545,-4.151062426940604,0.995022,19.219381,1.302185,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,2.748491196176186e-22,22.63526353625957,non-member
598677179312216192,132.99967046181567,11.163386625717218,0.947509643100398,0.396480657446653,-5.66984449035189,0.97759295,18.432207,1.8329773,,NOT_AVAILABLE,0,False,False,False,False,False,True,False,3735.749,4.8689,-0.7188,719.2466,0.0387,0.0274,0.015,2.1371231525448906e-40,23.223447505457873,non-member
598677213671969664,132.9497160805113,11.14064115293768,0.5121050076306052,-4.455831738442155,3.001629317201678,1.0437162,17.110773,0.97812843,,NOT_AVAILABLE,0,True,False,False,False,False,True,True,5181.82,4.6778,-0.8121,1482.9862,0.0181,0.0147,0.0079,4.3743367279868524e-24,4.377347290384308,non-member
598677282391245056,132.9408273201546,11.14582833655368,1.4376455809169844,-1.5970479364455756,0.8235596597134406,0.97300416,20.713251,0.5881653,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,0.009219445405173898,12.88137207079356,non-member
598677312456212224,132.9606491720366,11.161321200311145,0.81244040309276,-13.221347616060918,-4.808748570204964,1.0308256,19.58653,1.4848309,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,0.0333112808725189,9.878825343003086,non-member
598677316751180800,132.9565106652684,11.156592980642284,1.1189012402053184,-9.588359702704684,-2.565555740466576,0.9870503,14.734076,0.9348898,,NOT_AVAILABLE,0,True,True,False,False,False,True,True,5273.435,4.3834,-0.5676,844.7028,0.0111,0.0091,0.0049,0.938255853547297,3.1770730766918427,core
598677351110910848,132.9826680347587,11.15865339866014,1.911905915916148,-11.870965622511504,-6.15935854928363,1.1979048,11.624082,0.5476103,35.99736,NOT_AVAILABLE,0,True,True,True,False,False,True,True,6719.615,4.2157,0.0336,495.4691,0.0516,0.0454,0.0244,9.547955981838913e-12,5.568311466808037,non-member
598677381175693952,132.98840616675605,11.171140272091058,-1.219320333408843,-2.9093259533434552,-8.851888665518008,1.04642,20.344631,1.7022438,,NOT_AVAILABLE,0,False,False,False,False,False,False,False,,,,,,,,9.932901449178351e-82,18.18549062276043,non-member
