source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
598677729068014976,133.09039086189722,11.164380597378448,1.2773250577302129,-7.1570628066553414,-11.12501809810834,0.94627935,16.617004,1.4816418,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4446.6396,4.5935,0.2694,847.8597,0.2659,0.2,0.1051
598677729068015104,133.091512243433,11.162396895169481,0.545657591961344,-7.694033399112067,-10.815919575392902,1.0324737,18.168497,1.4636555,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4217.1826,4.8298,-0.9757,1014.2934,0.0078,0.0058,0.0031
598677797787499904,133.0543928715427,11.154294741733214,0.8175790612534485,-1.0348341659127187,-0.8229846823323813,0.9640282,17.183378,1.1782856,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4756.8193,4.6622,-0.0623,1342.9198,0.0089,0.007,0.0037
598677832147241984,133.0344987873577,11.14542686191858,0.4569308954637006,-3.7092227199261574,-22.459073090733717,1.0571197,14.509799,0.93976784,148.31422,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5484.5737,3.4064,-1.4575,2197.3918,0.1875,0.1554,0.0849
598677862212210688,133.03743417181713,11.15922937339735,0.8062569283109022,0.15634865508613094,-8.404175374054837,1.0564786,20.59925,1.1524296,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598677862212337024,133.03805686291355,11.155416582496715,1.968166034111862,-9.406883750501391,-2.8308964629218005,1.1136729,20.484896,2.3221207,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598677866506808192,133.05328434261506,11.158326617250864,,,,,21.162645,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598677930931505920,133.07785566116883,11.167404346469525,1.1561783045701048,-5.146300484109265,-18.835578363870486,1.0001781,19.058578,1.4385471,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678003945922944,133.07277679493671,11.181215924055037,3.1637314252265254,-10.46472008606719,-6.769242955161021,1.1188235,13.005664,1.0072393,-8.749321,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5158.6704,4.5042,0.0603,313.0133,0.0085,0.0069,0.0036
598678034010717824,133.10943223732102,11.16036892687026,4.088961519485261,6.063390565725026,-48.9558358167171,0.9722498,19.052637,2.8397865,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678068370459136,133.11247037589422,11.166702960823034,0.5810981436847884,-10.137631473688803,3.2251164478858536,1.03345,19.72832,2.0809326,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678072664794752,133.12242765370723,11.169231468003161,0.7712750814752614,-8.944321009964971,-10.958784392048981,1.0701544,20.293556,1.0921001,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678072665394432,133.12049685350553,11.16891843612638,0.03374261575356598,0.9276949801277855,-4.940664299314967,0.98266745,16.608536,0.08786774,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,8973.058,4.4964,-1.1508,5850.007,0.0286,0.027,0.0143
598678107025406592,133.10605165122334,11.164390428091513,0.22337297112752147,0.9090068559822712,-1.1829772377845467,1.0156893,17.908728,0.84804344,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5423.5654,4.6616,-0.4751,2635.589,0.0042,0.0034,0.0018
598678107025406720,133.10272681413954,11.16247096662348,0.0688031591406578,-2.9213951955593105,-0.900498135419213,1.0641549,18.39947,0.90171814,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,5389.344,4.6983,-0.8826,2964.637,0.0047,0.0039,0.0021
598678107025406976,133.10020539153487,11.160392690154502,0.5209465733253031,-3.2542678441060255,-3.3371470463545667,1.0700021,14.720609,0.7111263,,NOT_AVAILABLE,0,true,true,false,false,false,true,true,6041.1826,4.1063,-0.4794,1521.145,0.04,0.0342,0.0185
598678137094856192,133.10661635330078,11.173867493819941,,,,,20.108065,1.309988,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678141384872704,133.10396831029303,11.17417051281361,1.1063878742375923,-10.963726808236338,-2.888683489824697,1.0477821,14.205034,0.8065262,39.610657,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5682.694,4.3727,-0.2907,834.6016,0.001,9.0E-4,5.0E-4
598678171449861760,133.133665311608,11.17034067411893,0.9610941673794342,3.1348178651428333,-2.626989105694311,0.9814532,19.736387,2.3525715,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678175744607104,133.13690930067844,11.176825270190934,1.0536313876203267,-8.911106418420497,-14.436531396124142,1.7678379,14.64992,0.8243971,,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5610.8193,4.5189,-0.5324,722.18,0.0045,0.0038,0.002
598678210104231552,133.14583158503464,11.18592859624437,,,,,20.875713,1.4396324,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678210104344832,133.13926606334783,11.18951586813773,0.4636960634485492,-3.4450573174936445,-3.299638626667827,0.9927186,17.298775,0.9759464,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5210.179,4.6599,-0.6126,1735.8406,0.0084,0.0068,0.0037
598678313183566592,133.08975264867834,11.175303771582632,0.5800160589110628,0.42709235719449273,-0.9404945666021906,1.0250429,19.850252,1.4797878,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678313183566976,133.08482572626409,11.178931540600765,0.3827696221059683,-3.0854221893031584,-3.299508338611936,0.9935243,15.286727,0.89993286,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5443.548,4.2332,-0.4733,1587.8857,0.005,0.0041,0.0022
598678313184923392,133.09014636546235,11.172512100119752,0.3888455602849767,-9.13169317588201,-0.7545298370350121,0.9884672,19.416288,1.8658428,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678343248559744,133.1036522034961,11.189367743657066,4.911799347019379,-16.2415720043389,-6.198348124036834,1.0616584,19.849035,2.6461353,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678515047256704,133.1006654265638,11.213058732130653,,,,,20.884857,1.5076637,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678519341992448,133.09826490723484,11.213521695662113,0.11770038690213853,3.6710802287653275,-1.8293587156675013,0.97248054,18.14452,1.1083431,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4835.9478,4.8074,-1.4001,1565.1888,0.0273,0.0217,0.0117
598678583766719744,133.0225148625745,11.164768455746703,1.771003521308866,1.806674764100702,-4.203682729519403,0.90918195,20.79538,0.81124496,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678618126462720,133.03459997879486,11.174789286796177,1.6863248301563771,19.156897897731085,-9.15465507050734,1.0593286,19.788712,2.4253273,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678622421223168,133.03135904473018,11.169034335910233,-0.34946729210058824,-2.8985312697850976,-0.9455745875497943,0.9949722,19.181602,0.67442703,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678656780938496,133.00795301704954,11.173701783673543,,,,,21.196331,0.17104912,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
598678656780963584,133.01333250382936,11.168467246285287,1.0136141856129588,-10.690008418717891,-2.689132731213628,0.9738146,19.30567,2.4118156,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
